EpisodeLength,Reward,step,model_number,RunID,Env,Selection,Crossover,LR
200,-1191.690240559475,1,4,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1067.528521272005,1,5,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1330.6944264658744,1,6,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1077.8322528881395,1,7,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1835.9090865497376,1,8,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1314.2855119106953,1,9,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1038.0221045370897,1,10,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1483.8164410492627,1,11,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1155.1949908652866,1,12,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1452.2404777873635,1,13,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1442.876668122836,1,14,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-892.1109041009547,1,15,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1497.110690895511,1,16,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-909.1250755724508,1,17,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1326.1173933305897,1,18,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1154.0497959194142,1,19,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1025.3040467641943,1,20,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1020.8099786869913,1,21,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-929.9157653315522,1,22,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-961.1208236742445,1,23,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1168.4305713289186,1,24,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1595.4083890042698,1,25,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1414.3634644745218,1,26,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-867.6273561307605,1,27,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-984.2334252656573,1,28,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1025.7092548224439,1,29,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1023.8014753914222,1,30,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-908.5075823541097,1,31,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1323.1503216165347,1,32,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
